DATE,YEAR,MONTH,MONTH_NAME,Rainfall_mm_per_month,Temperature_Celsius,Relative_Humidity_percent,Specific_Humidity_g_per_kg,Solar_Radiation_MJ_m2_per_month,Surface_Pressure_hPa
9/1/2002,2002,9,SEP,123.7758,24.5742,90.0892,17.4892,14.82,99.5475
10/1/2002,2002,10,OCT,262.915,24.9425,90.3225,17.9583,16.1025,99.4192
11/1/2002,2002,11,NOV,27.5142,25.6508,84.7358,17.4825,18.1575,99.4225
12/1/2002,2002,12,DEC,1.6775,24.58,76.2492,14.9033,18.205,99.4708
1/1/2003,2003,1,JAN,44.6758,25.135,78.3483,15.6925,17.925,99.45
2/1/2003,2003,2,FEB,90.915,26.8067,84.2033,18.5242,17.6675,99.2533
3/1/2003,2003,3,MAR,23.0408,26.8583,85.0058,18.82,17.2125,99.2025
4/1/2003,2003,4,APR,285.9642,26.4233,89.2567,19.3967,17.8775,99.2683
5/1/2003,2003,5,MAY,130.25,26.145,90.1467,19.2792,17.565,99.3892
6/1/2003,2003,6,JUN,148.44,25.0058,90.4583,18.0592,15.2425,99.4858
7/1/2003,2003,7,JUL,160.24,24.2575,89.8042,17.0975,14.5975,99.6175
8/1/2003,2003,8,AUG,80.8392,24.5025,88.4475,17.0683,13.9525,99.5967
9/1/2003,2003,9,SEP,308.5208,24.7692,90.835,17.8575,14.2925,99.5483
10/1/2003,2003,10,OCT,261.5525,25.5325,90.8083,18.7308,17.63,99.3483
11/1/2003,2003,11,NOV,55.9583,25.6417,88.0967,18.2558,18.0925,99.3008
12/1/2003,2003,12,DEC,2.1275,24.8292,78.6067,15.5358,18.335,99.36
1/1/2004,2004,1,JAN,45.6017,25.1733,79.3942,15.9283,17.43,99.2608
2/1/2004,2004,2,FEB,17.1917,25.8017,79.5767,16.6417,17.4375,99.3083
3/1/2004,2004,3,MAR,27.4583,26.73,81.5975,18.005,16.6525,99.2083
4/1/2004,2004,4,APR,190.3375,26.3967,89.1308,19.3267,17.3525,99.2575
5/1/2004,2004,5,MAY,262.0883,25.9667,90.5583,19.165,16.1125,99.4242
6/1/2004,2004,6,JUN,148.3267,25.0325,90.8017,18.1292,15.9,99.645
7/1/2004,2004,7,JUL,201.0267,24.0908,91.2958,17.2408,14.36,99.57
8/1/2004,2004,8,AUG,126.7375,24.355,89.7733,17.1817,13.53,99.6233
9/1/2004,2004,9,SEP,236.3825,24.8167,91.1458,17.9842,16.01,99.4775
10/1/2004,2004,10,OCT,127.5092,25.335,90.4867,18.43,16.83,99.4083
11/1/2004,2004,11,NOV,47.7092,25.7292,88.255,18.4008,17.98,99.3175
12/1/2004,2004,12,DEC,0.2708,25.8483,83.845,17.5617,17.8725,99.2608
1/1/2005,2005,1,JAN,0.1067,23.64,69.695,12.8683,17.4025,99.3208
2/1/2005,2005,2,FEB,27.1017,27.0433,85.0983,19.0467,16.22,99.1433
3/1/2005,2005,3,MAR,70.7508,26.9417,87.9517,19.665,17.52,99.2358
4/1/2005,2005,4,APR,41.8033,27.1333,88.1017,19.9475,17.205,99.22
5/1/2005,2005,5,MAY,52.2867,26.3542,87.7642,18.9217,17.0425,99.3708
6/1/2005,2005,6,JUN,224.8625,25.5092,89.5725,18.3967,14.2125,99.4833
7/1/2005,2005,7,JUL,76.8425,24.7633,88.4775,17.3225,12.7575,99.6358
8/1/2005,2005,8,AUG,121.6025,24.4942,85.395,16.3783,13.6,99.58
9/1/2005,2005,9,SEP,267.415,25.0558,89.5675,17.8883,15.315,99.5017
10/1/2005,2005,10,OCT,97.5225,25.4225,89.4042,18.265,16.585,99.4383
11/1/2005,2005,11,NOV,31.7683,26.1742,85.5908,18.2125,19.0725,99.2792
12/1/2005,2005,12,DEC,1.4008,26.2008,82.1625,17.4008,17.6775,99.1967
1/1/2006,2006,1,JAN,10.3,26.5892,84.0508,18.2233,16.34,99.1667
2/1/2006,2006,2,FEB,23.6475,27.2175,83.2725,18.725,17.15,99.1575
3/1/2006,2006,3,MAR,47.46,26.8075,84.7517,18.6758,17.11,99.2508
4/1/2006,2006,4,APR,38.955,27.1533,84.7767,19.085,18.7175,99.1583
5/1/2006,2006,5,MAY,172.7692,25.9975,89.0025,18.8167,16.31,99.4033
6/1/2006,2006,6,JUN,125.8217,25.5892,89.1842,18.4042,16.775,99.485
7/1/2006,2006,7,JUL,200.4083,25.0283,88.685,17.655,13.57,99.5858
8/1/2006,2006,8,AUG,419.8383,24.2442,89.6367,17.0583,12.785,99.5358
9/1/2006,2006,9,SEP,253.0067,24.5375,91.2692,17.705,13.9275,99.5292
10/1/2006,2006,10,OCT,89.6992,25.6758,89.7592,18.6517,15.9525,99.3575
11/1/2006,2006,11,NOV,30.4683,25.4283,81.5242,16.6642,19.17,99.3233
12/1/2006,2006,12,DEC,0.3467,25.0575,74.4425,14.8058,18.1475,99.4375
1/1/2007,2007,1,JAN,0.0125,23.4917,65.2217,11.8367,18.1,99.4292
2/1/2007,2007,2,FEB,29.4933,26.5817,80.7483,17.485,17.72,99.2783
3/1/2007,2007,3,MAR,40.3983,27.0108,82.2192,18.3025,17.97,99.1717
4/1/2007,2007,4,APR,137.9325,26.7308,87.2792,19.2625,17.3975,99.2042
5/1/2007,2007,5,MAY,168.9467,26.235,89.9433,19.3392,17.8425,99.3208
6/1/2007,2007,6,JUN,363.8675,25.0667,91.285,18.295,16.0125,99.5133
7/1/2007,2007,7,JUL,228.735,24.435,90.4217,17.4183,13.8625,99.565
8/1/2007,2007,8,AUG,393.8383,24.1883,91.3483,17.365,13.6025,99.4917
9/1/2007,2007,9,SEP,452.12,24.7867,91.6792,18.0683,14.6225,99.5125
10/1/2007,2007,10,OCT,233.2433,24.9475,91.4492,18.2183,16.4275,99.3833
11/1/2007,2007,11,NOV,67.7792,25.6242,88.0225,18.2283,17.4825,99.2717
12/1/2007,2007,12,DEC,47.6158,24.6475,79.6608,15.65,17.33,99.3158
1/1/2008,2008,1,JAN,2.7942,23.4092,74.0083,13.51,17.86,99.3183
2/1/2008,2008,2,FEB,14.5917,24.9717,74.9992,14.9475,18.0675,99.3283
3/1/2008,2008,3,MAR,52.9283,26.2475,88.0133,18.9075,17.98,99.1542
4/1/2008,2008,4,APR,83.8817,26.2875,87.4258,18.8083,17.125,99.1267
5/1/2008,2008,5,MAY,81.9442,26.0233,89.1558,18.9133,17.7,99.28
6/1/2008,2008,6,JUN,245.6375,25.2433,90.7467,18.3742,16.01,99.455
7/1/2008,2008,7,JUL,342.3608,24.5033,90.4892,17.4942,14.16,99.5717
8/1/2008,2008,8,AUG,186.1192,24.2692,91.0033,17.3783,13.7725,99.4467
9/1/2008,2008,9,SEP,285.9925,24.805,91.1975,17.9842,14.6925,99.4817
10/1/2008,2008,10,OCT,140.6917,25.4342,89.7142,18.365,18.3975,99.4042
11/1/2008,2008,11,NOV,15.8392,25.8575,84.8433,17.7942,18.675,99.2967
12/1/2008,2008,12,DEC,21.6025,25.265,81.3317,16.5325,17.135,99.2717
1/1/2009,2009,1,JAN,35.5408,25.4492,81.6517,16.73,17.51,99.3033
2/1/2009,2009,2,FEB,16.9058,26.3792,86.5033,18.6442,16.815,99.185
3/1/2009,2009,3,MAR,51.4917,26.68,87.4008,19.2308,16.86,99.1242
4/1/2009,2009,4,APR,142.2267,26.175,89.3,19.115,18.225,99.27
5/1/2009,2009,5,MAY,194.17,25.8458,90.3067,18.9875,17.74,99.3183
6/1/2009,2009,6,JUN,216.1,25.1817,91.2783,18.4292,15.9575,99.5233
7/1/2009,2009,7,JUL,224.4983,24.6492,90.9167,17.7458,13.6425,99.58
8/1/2009,2009,8,AUG,151.1825,24.3767,90.8725,17.4567,12.74,99.52
9/1/2009,2009,9,SEP,167.4833,24.9183,91.0508,18.0625,14.86,99.5533
